trackId,event,seq,startUs,startSec,ptsMs,durationMs,extra
2,moof,2,86003,0.086003,,,frames=971
2,mdat,2,86003,0.8126598639455781,,22546.57596371849,481
2,moof,2,86484,0.086484,,,frames=971
2,mdat,2,86484,0.8126598639455781,,22546.57596371849,486
2,moof,2,86970,0.08697,,,frames=971
2,mdat,2,86970,0.8126598639455781,,22546.57596371849,485
2,moof,2,87455,0.087455,,,frames=971
2,mdat,2,87455,0.8126598639455781,,22546.57596371849,491
2,moof,2,87946,0.087946,,,frames=971
2,mdat,2,87946,0.8126598639455781,,22546.57596371849,473
2,moof,2,88419,0.088419,,,frames=971
2,mdat,2,88419,0.8126598639455781,,22546.57596371849,478
2,moof,2,88897,0.088897,,,frames=971
2,mdat,2,88897,0.8126598639455781,,22546.57596371849,487
2,moof,2,89384,0.089384,,,frames=971
2,mdat,2,89384,0.8126598639455781,,22546.57596371849,478
2,moof,2,89862,0.089862,,,frames=971
2,mdat,2,89862,0.8126598639455781,,22546.57596371849,476
2,moof,2,90338,0.090338,,,frames=971
2,mdat,2,90338,0.8126598639455781,,22546.57596371849,476
2,moof,2,90814,0.090814,,,frames=971
2,mdat,2,90814,0.8126598639455781,,22546.57596371849,476
2,moof,2,91290,0.09129,,,frames=971
2,mdat,2,91290,0.8126598639455781,,22546.57596371849,476
2,moof,2,91766,0.091766,,,frames=971
2,mdat,2,91766,0.8126598639455781,,22546.57596371849,476
2,moof,2,92242,0.092242,,,frames=971
2,mdat,2,92242,0.8126598639455781,,22546.57596371849,476
2,moof,2,92718,0.092718,,,frames=971
2,mdat,2,92718,0.8126598639455781,,22546.57596371849,486
2,moof,2,93204,0.093204,,,frames=971
2,mdat,2,93204,0.8126598639455781,,22546.57596371849,486
2,moof,2,93690,0.09369,,,frames=971
2,mdat,2,93690,0.8126598639455781,,22546.57596371849,478
2,moof,2,94168,0.094168,,,frames=971
2,mdat,2,94168,0.8126598639455781,,22546.57596371849,477
2,moof,2,94645,0.094645,,,frames=971
2,mdat,2,94645,0.8126598639455781,,22546.57596371849,478
2,moof,2,95123,0.095123,,,frames=971
2,mdat,2,95123,0.8126598639455781,,22546.57596371849,480
2,moof,2,95603,0.095603,,,frames=971
2,mdat,2,95603,0.8126598639455781,,22546.57596371849,483
2,moof,2,96086,0.096086,,,frames=971
2,mdat,2,96086,0.8126598639455781,,22546.57596371849,479
2,moof,2,96565,0.096565,,,frames=971
2,mdat,2,96565,0.8126598639455781,,22546.57596371849,479
2,moof,2,97044,0.097044,,,frames=971
2,mdat,2,97044,0.8126598639455781,,22546.57596371849,477
2,moof,2,97521,0.097521,,,frames=971
2,mdat,2,97521,0.8126598639455781,,22546.57596371849,462
2,moof,2,97983,0.097983,,,frames=971
2,mdat,2,97983,0.8126598639455781,,22546.57596371849,478
2,moof,2,98461,0.098461,,,frames=971
2,mdat,2,98461,0.8126598639455781,,22546.57596371849,469
2,moof,2,98930,0.09893,,,frames=971
2,mdat,2,98930,0.8126598639455781,,22546.57596371849,456
2,moof,2,99386,0.099386,,,frames=971
2,mdat,2,99386,0.8126598639455781,,22546.57596371849,474
2,moof,2,99860,0.09986,,,frames=971
2,mdat,2,99860,0.8126598639455781,,22546.57596371849,473
2,moof,2,100333,0.100333,,,frames=971
2,mdat,2,100333,0.8126598639455781,,22546.57596371849,477
2,moof,2,100810,0.10081,,,frames=971
